epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,93970.9,1.0677,0.66437,0.87916,0.59506,0.48003,0.495,0.32957,1.09493,0.64331,0.87554,0.002575,0.002575,0.002575
77,95214.1,1.06989,0.662,0.87983,0.59342,0.48542,0.49515,0.32947,1.0951,0.64334,0.87555,0.002476,0.002476,0.002476
78,96455.5,1.06784,0.65972,0.87818,0.58849,0.48639,0.49467,0.32879,1.09509,0.64311,0.87547,0.002377,0.002377,0.002377
79,97702.7,1.06622,0.65718,0.87868,0.59213,0.48271,0.49424,0.32855,1.09507,0.64308,0.87545,0.002278,0.002278,0.002278
80,98945.3,1.06418,0.65329,0.87742,0.59088,0.48139,0.49373,0.32837,1.09511,0.64312,0.87536,0.002179,0.002179,0.002179
81,100178,1.0621,0.65089,0.87731,0.7198,0.46285,0.49316,0.32823,1.09528,0.64307,0.87538,0.00208,0.00208,0.00208
82,101418,1.06073,0.64845,0.87692,0.60268,0.47237,0.49317,0.32806,1.09528,0.64306,0.8753,0.001981,0.001981,0.001981
83,102654,1.05716,0.64562,0.87614,0.60865,0.47419,0.49355,0.32846,1.09517,0.64312,0.87525,0.001882,0.001882,0.001882
84,103890,1.05609,0.64295,0.8755,0.61091,0.47483,0.49364,0.32819,1.09523,0.64318,0.87523,0.001783,0.001783,0.001783
85,105130,1.05096,0.63684,0.87455,0.61711,0.47,0.49347,0.32835,1.09522,0.64328,0.8753,0.001684,0.001684,0.001684
86,106364,1.04961,0.63489,0.8746,0.61481,0.47244,0.49298,0.32774,1.09543,0.64376,0.87534,0.001585,0.001585,0.001585
87,107595,1.04679,0.63079,0.8734,0.61411,0.47336,0.49253,0.32744,1.09551,0.64391,0.87539,0.001486,0.001486,0.001486
88,108829,1.04548,0.62893,0.87261,0.61988,0.47069,0.49248,0.32692,1.09547,0.64459,0.87527,0.001387,0.001387,0.001387
