epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,96427.9,1.06935,0.62565,0.87874,0.75837,0.69045,0.75301,0.44769,1.09424,0.60563,0.87531,0.002377,0.002377,0.002377
79,97673,1.06696,0.62388,0.87989,0.75878,0.69096,0.75337,0.44785,1.09416,0.60539,0.87532,0.002278,0.002278,0.002278
80,98916.6,1.06516,0.62106,0.87872,0.75749,0.69251,0.75402,0.44819,1.09415,0.60528,0.87537,0.002179,0.002179,0.002179
81,100153,1.06298,0.61777,0.87714,0.75852,0.69207,0.7544,0.44837,1.09416,0.60512,0.87534,0.00208,0.00208,0.00208
82,101393,1.06073,0.61637,0.87734,0.75817,0.69294,0.75468,0.44842,1.09412,0.60502,0.87535,0.001981,0.001981,0.001981
83,102632,1.05828,0.61419,0.87761,0.75888,0.69271,0.75498,0.44857,1.09411,0.60487,0.87544,0.001882,0.001882,0.001882
84,103862,1.05664,0.61191,0.87685,0.75719,0.69386,0.75502,0.44856,1.09429,0.60508,0.87554,0.001783,0.001783,0.001783
85,105104,1.0517,0.60685,0.87564,0.75766,0.69346,0.75493,0.4485,1.09425,0.605,0.87566,0.001684,0.001684,0.001684
86,106344,1.05138,0.6055,0.87503,0.75783,0.69356,0.75517,0.4488,1.09449,0.60491,0.87573,0.001585,0.001585,0.001585
87,107576,1.0475,0.60154,0.87411,0.75781,0.69379,0.7555,0.44881,1.0947,0.60502,0.87571,0.001486,0.001486,0.001486
88,108802,1.04608,0.59974,0.87425,0.75782,0.6938,0.75555,0.44889,1.09475,0.60518,0.87576,0.001387,0.001387,0.001387
89,110033,1.04529,0.59645,0.87412,0.75854,0.69322,0.75532,0.44888,1.09512,0.60524,0.87582,0.001288,0.001288,0.001288
90,111259,1.04115,0.59267,0.87268,0.75901,0.69345,0.75572,0.44883,1.09552,0.60534,0.87588,0.001189,0.001189,0.001189
91,112484,1.08165,0.60052,0.87373,0.75882,0.69366,0.75566,0.4488,1.09588,0.60552,0.87604,0.00109,0.00109,0.00109
92,113719,1.07715,0.59485,0.87176,0.75925,0.69341,0.75572,0.44874,1.09625,0.60592,0.87601,0.000991,0.000991,0.000991
93,114950,1.07328,0.59,0.87235,0.75919,0.69328,0.75538,0.4487,1.09664,0.60624,0.87615,0.000892,0.000892,0.000892
94,116162,1.06922,0.58523,0.87,0.76095,0.69227,0.75548,0.4486,1.09713,0.60679,0.87624,0.000793,0.000793,0.000793
95,117392,1.06596,0.58016,0.86854,0.7627,0.69133,0.75549,0.44842,1.09747,0.60716,0.87634,0.000694,0.000694,0.000694
96,118614,1.06185,0.57536,0.86798,0.76253,0.69072,0.75502,0.44826,1.09806,0.6077,0.8765,0.000595,0.000595,0.000595
97,119846,1.05882,0.57129,0.86721,0.76141,0.6918,0.75505,0.44787,1.0987,0.60849,0.87665,0.000496,0.000496,0.000496
98,121060,1.05419,0.56663,0.86624,0.76167,0.69171,0.75487,0.44771,1.09923,0.60914,0.87681,0.000397,0.000397,0.000397
99,122298,1.05125,0.56213,0.8659,0.76239,0.69084,0.7547,0.44749,1.09989,0.60988,0.87697,0.000298,0.000298,0.000298
100,123521,1.04788,0.55746,0.86506,0.7615,0.69091,0.75421,0.4472,1.10068,0.61089,0.8771,0.000199,0.000199,0.000199
